type,name,duration,interval
chord,C4.E4.G4,0.25,
note,C5,1.25,P15
chord,C2.C3,1.5,M20
note,G4,1.75,P15
note,G2,1.75,m16
note,E5,1.5,P15
note,E3,1.5,M13
note,F5,0.25,P15
note,F3,0.25,m14
note,D5,0.25,P15
note,D3,0.25,P19
note,C5,0.75,m10
note,C3,0.75,m3
note,G5,0.75,P8
note,E4,0.75,m10
note,G4,0.5,m3
note,G5,0.75,d5
note,E4,0.75,d5
note,G4,0.5,M9
note,C#4,0.75,m13
note,G4,0.5,d5
note,A5,0.75,P8
note,C#4,0.75,P11
note,G4,0.5,m10
note,G5,0.5,m7
note,D4,0.75,m7
note,F5,0.25,m10
note,G4,0.5,P4
note,F5,0.75,m6
note,D4,0.75,m6
note,G4,0.5,P8
note,B3,0.75,m13
note,G4,0.5,m6
note,G5,0.75,m7
note,B3,0.75,P11
note,G4,0.5,M10
note,F5,0.5,M6
note,C4,0.75,M6
note,E5,0.25,M10
note,G4,0.5,P5
note,E5,0.75,m3
note,C4,0.75,m3
note,G4,0.5,P8
note,E4,0.75,m10
note,G4,0.5,P8
note,G5,0.5,M6
note,E4,0.75,A4
note,E5,0.5,M3
note,G4,0.5,M3
note,C#5,0.5,M6
note,A4,4.0,m3
note,F4,4.0,m2
note,D5,0.5,m3
note,F5,0.5,m2
note,E5,0.5,m3
note,C#5,0.5,m2
note,D5,0.5,m3
note,F5,0.5,m2
note,E5,0.5,m3
note,C#5,0.5,M17
note,D5,0.5,M2
note,F5,0.5,M13
chord,D4.A3,0.75,m2
note,F3,0.75,P12
note,A5,0.5,P15
note,G5,0.5,m16
chord,C4.E4,0.75,P15
note,G3,0.75,M13
note,E5,0.5,P15
note,F5,0.5,m14
chord,B3.D4,0.75,P15
note,G3,2/3,P19
note,D5,0.5,m10
chord,C4.E4.G4,0.25,m3
note,C5,1.25,P8
chord,C3.C2,4/3,m10
note,G4,1.75,m3
chord,G2.G1,1.75,d5
note,E5,1.5,d5
note,E3,1.5,M9
note,F5,0.25,m13
note,F3,0.25,d5
note,D5,0.25,P8
note,D3,0.25,P11
note,C5,0.75,m10
note,C3,1.0,m7
note,G5,0.75,m7
note,E4,0.75,m10
note,G4,0.5,P4
note,G5,0.75,m6
note,E4,0.75,P12
note,G4,0.5,M7
note,C#4,0.75,M9
note,G4,0.5,m14
note,A5,0.75,m13
note,C#4,0.75,P8
note,G4,0.5,m7
note,G5,0.5,P11
note,D4,0.75,M10
note,F5,0.25,M6
note,G4,0.5,M6
note,F5,0.75,M10
note,D4,0.75,P5
note,G4,0.5,m3
note,B3,0.75,P8
note,F#5,0.5,M6
note,G4,0.5,P8
note,A5,0.5,m10
note,B3,0.75,P8
note,G5,0.5,M6
note,G4,0.5,A4
note,F5,0.5,A2
note,C4,0.75,m3
note,E5,0.25,P5
note,G4,0.5,M2
note,E5,0.75,M2
note,C4,0.75,P4
note,G4,0.5,M3
note,E4,0.75,P8
note,E5,0.5,m2
note,G4,0.5,A4
note,G5,0.5,m3
note,E4,0.75,m7
note,E5,0.5,M2
note,G4,0.5,M2
note,C#5,1.5,P4
note,B-4,2.0,m3
note,G4,2.0,m10
note,D5,0.25,P8
note,E5,0.25,m10
note,D5,0.75,m17
note,A4,0.75,P8
note,F4,0.75,P8
note,F5,0.5,P15
note,E5,1.5,P8
note,B-4,2.0,m10
note,G4,2.0,m3
note,F5,0.25,P5
note,G5,0.25,P5
note,F5,1.0,M14
note,C5,0.75,A18
note,A4,1.0,M17
note,C6,0.5,M13
note,C5,0.5,P12
note,A3,0.75,P5
note,C6,0.5,m13
note,C5,0.5,m17
note,C4,0.5,P5
note,C6,1.5,P8
note,C5,1.5,P12
note,A3,0.75,P5
note,C4,0.5,m13
note,F3,0.75,m6
note,C4,0.5,P8
note,B5,0.5,P8
note,F3,0.75,P11
note,A5,0.5,P18
note,C4,0.5,M17
note,G5,0.5,M10
